"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"BBX","BBX MINERALS LIMITED","Materials","12/08/2005",23051282
"BC8","BLACK CAT SYNDICATE LIMITED","Materials","30/01/2018",105416199
"BCA","BLACK CANYON LIMITED","Materials","05/05/2021",9521183
"BCB","BOWEN COKING COAL LIMITED","Materials","22/06/1995",202918658
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","Technology Hardware & Equipment","06/11/1986",15988055
"BCI","BCI MINERALS LIMITED","Materials","15/12/2006",327578770
"BCK","BROCKMAN MINING LIMITED","Materials","11/01/2011",287687196
"BCN","BEACON MINERALS LIMITED","Materials","20/10/2006",105189509
"BCT","BLUECHIIP LIMITED","Technology Hardware & Equipment","09/06/2011",14273409
"BDG","BLACK DRAGON GOLD CORP.","Materials","29/08/2018",7826132
"BDM","BURGUNDY DIAMOND MINES LIMITED","Materials","04/01/2013",361090171
"BDT","BIRDDOG TECHNOLOGY LIMITED","Technology Hardware & Equipment","20/12/2021",26793734
"BDX","BCAL DIAGNOSTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/07/2021",16915502
"BEE","BROO LTD","Food, Beverage & Tobacco","14/10/2016","SUSPENDED"
"BEL","BENTLEY CAPITAL LIMITED","Not Applic","07/11/1986",3578012
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","Banks","19/12/1985",5336269373
"BET","BETMAKERS TECHNOLOGY GROUP LTD","Consumer Services","11/12/2015",136813532
"BEX","BIKEEXCHANGE LIMITED","Consumer Discretionary Distribution & Retail","09/02/2021",7134901
"BEZ","BESRA GOLD INC.","Materials","08/10/2021",94715936
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","Food, Beverage & Tobacco","28/08/2015",17973422
"BFG","BELL FINANCIAL GROUP LIMITED","Financial Services","12/12/2007",333573706
"BFL","BSP FINANCIAL GROUP LIMITED","Banks","25/05/2021",2471593689
"BGA","BEGA CHEESE LIMITED","Food, Beverage & Tobacco","19/08/2011",1010103294
"BGD","BARTON GOLD HOLDINGS LIMITED","Materials","28/06/2021",43939423
"BGE","BRIDGE SAAS LIMITED","Software & Services","06/10/2022",2156392
"BGL","BELLEVUE GOLD LIMITED","Materials","20/12/2005",1690817946
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","Consumer Discretionary Distribution & Retail","20/07/2017",986852397
"BGT","BIO-GENE TECHNOLOGY LTD","Materials","29/11/2017",15057387
"BHD","BENJAMIN HORNIGOLD LIMITED","Not Applic","12/05/2017",5314153
"BHP","BHP GROUP LIMITED","Materials","13/08/1885",234902099182
"BIM","BINDI METALS LIMITED","Materials","28/06/2022",5643000
"BIO","BIOME AUSTRALIA LIMITED","Household & Personal Products","30/11/2021",21190317
"BIR","BIR FINANCIAL LIMITED","Financial Services","31/07/2006",21207355
"BIS","BISALLOY STEEL GROUP LIMITED","Materials","23/06/2003",94188361
"BIT","BIOTRON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2001",27058347
"BKG","BOOKTOPIA GROUP LIMITED","Consumer Discretionary Distribution & Retail","03/12/2020",21153332
"BKI","BKI INVESTMENT COMPANY LIMITED","Not Applic","12/12/2003",1433127807
"BKL","BLACKMORES LIMITED","Household & Personal Products","02/05/1985","SUSPENDED"
"BKT","BLACK ROCK MINING LIMITED","Materials","10/12/2003",113131493
"BKW","BRICKWORKS LIMITED","Materials","30/06/1962",3973586540
"BKY","BERKELEY ENERGIA LIMITED","Energy","16/09/2003",191692587
"BLD","BORAL LIMITED.","Materials","21/02/2000",4853589044
"BLG","BLUGLASS LIMITED","Semiconductors & Semiconductor Equipment","22/09/2006",68762054
"BLU","BLUE ENERGY LIMITED.","Energy","13/10/1994",44423366
"BLX","BEACON LIGHTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","15/04/2014",422241023
"BLY","BOART LONGYEAR GROUP LTD","Materials","05/04/2007",473472662
"BLZ","BLAZE MINERALS LIMITED","Energy","12/09/1996",8799815
"BM8","BATTERY AGE MINERALS LTD","Materials","04/11/2020",30786597
"BME","BLACK MOUNTAIN ENERGY LTD","Energy","23/12/2021",9963829
"BMG","BMG RESOURCES LIMITED","Materials","12/05/2004",7605566
"BMH","BAUMART HOLDINGS LIMITED","Capital Goods","19/06/2015",14474476
"BML","BOAB METALS LIMITED","Materials","15/07/2004",34892554
"BMM","BALKAN MINING AND MINERALS LIMITED","Materials","14/07/2021",11603683
"BMN","BANNERMAN ENERGY LTD","Energy","28/04/2005",246084929
"BMO","BASTION MINERALS LIMITED","Materials","16/03/2021",5026402
